['128018', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.59', '-0.50']
['128044', '0.03', '-57.20', '0.00', '0.00', '0.83', '-6.66', '-0.50']
['128070', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.61', '-0.50']
['128096', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.62', '-0.50']
['128122', '0.03', '-57.20', '0.00', '0.00', '0.85', '-6.74', '-0.50']
['128148', '0.03', '-57.20', '0.00', '0.00', '0.89', '-6.94', '-0.50']
['128174', '0.03', '-57.20', '0.00', '0.00', '0.91', '-7.04', '-0.50']
['128200', '0.03', '-57.20', '0.00', '0.00', '0.91', '-7.05', '-0.50']
['128226', '0.03', '-57.20', '0.00', '0.00', '0.89', '-6.97', '-0.50']
['128252', '0.03', '-57.20', '0.00', '0.00', '0.90', '-7.00', '-0.50']
['128278', '0.03', '-57.20', '0.00', '0.00', '0.89', '-6.96', '-0.50']
['128304', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.91', '-0.50']
['128330', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.86', '-0.50']
['128356', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.88', '-0.50']
['128382', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.87', '-0.50']
['128408', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.79', '-0.50']
['128434', '0.03', '-57.20', '0.00', '0.00', '0.84', '-6.70', '-0.50']
['128460', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.60', '-0.50']
['128486', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.59', '-0.50']
['128512', '0.03', '-57.20', '0.00', '0.00', '0.83', '-6.65', '-0.50']
['128538', '0.03', '-57.20', '0.00', '0.00', '0.84', '-6.70', '-0.50']
['128564', '0.03', '-57.20', '0.00', '0.00', '0.82', '-6.62', '-0.50']
['128590', '0.03', '-57.20', '0.00', '0.00', '0.84', '-6.68', '-0.50']
['128616', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.78', '-0.50']
['128642', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.83', '-0.50']
['128668', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.84', '-0.50']
['128694', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.89', '-0.50']
['128720', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.92', '-0.50']
['128746', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.87', '-0.50']
['128772', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.80', '-0.50']
['128798', '0.03', '-57.20', '0.00', '0.00', '0.85', '-6.77', '-0.50']
['128824', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.79', '-0.50']
['128850', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.84', '-0.50']
['128876', '0.03', '-57.20', '0.00', '0.00', '0.89', '-6.94', '-0.50']
['128902', '0.03', '-57.20', '0.00', '0.00', '0.90', '-7.00', '-0.50']
['128928', '0.03', '-57.20', '0.00', '0.00', '0.91', '-7.07', '-0.50']
['128954', '0.03', '-57.20', '0.00', '0.00', '0.93', '-7.14', '-0.50']
['128980', '0.03', '-57.20', '0.00', '0.00', '0.93', '-7.17', '-0.50']
['129006', '0.03', '-57.20', '0.00', '0.00', '0.94', '-7.22', '-0.50']
['129032', '0.03', '-57.20', '0.00', '0.00', '0.96', '-7.30', '-0.50']
['129058', '0.03', '-57.20', '0.00', '0.00', '0.97', '-7.37', '-0.50']
['129084', '0.03', '-57.20', '0.00', '0.00', '0.98', '-7.42', '-0.50']
['129110', '0.03', '-57.20', '0.00', '0.00', '0.98', '-7.39', '-0.50']
['129136', '0.03', '-57.20', '0.00', '0.00', '0.98', '-7.39', '-0.50']
['129162', '0.03', '-57.20', '0.00', '0.00', '0.97', '-7.35', '-0.50']
['129188', '0.03', '-57.20', '0.00', '0.00', '0.96', '-7.28', '-0.50']
['129214', '0.03', '-57.20', '0.00', '0.00', '0.94', '-7.21', '-0.50']
['129240', '0.03', '-57.20', '0.00', '0.00', '0.94', '-7.21', '-0.50']
['129266', '0.03', '-57.20', '0.00', '0.00', '0.94', '-7.20', '-0.50']
['129292', '0.03', '-57.20', '0.00', '0.00', '0.93', '-7.17', '-0.50']
['129318', '0.03', '-57.20', '0.00', '0.00', '0.94', '-7.21', '-0.50']
['129344', '0.03', '-57.20', '0.00', '0.00', '0.95', '-7.26', '-0.50']
['129370', '0.03', '-57.20', '0.00', '0.00', '0.94', '-7.21', '-0.50']
['129396', '0.03', '-57.20', '0.00', '0.00', '0.94', '-7.18', '-0.50']
['129422', '0.03', '-57.20', '0.00', '0.00', '0.93', '-7.15', '-0.50']
['129448', '0.03', '-57.20', '0.00', '0.00', '0.93', '-7.15', '-0.50']
['129474', '0.03', '-57.20', '0.00', '0.00', '0.91', '-7.07', '-0.50']
['129500', '0.03', '-57.20', '0.00', '0.00', '0.89', '-6.95', '-0.50']
['129526', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.90', '-0.50']
['129552', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.84', '-0.50']
['129578', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.87', '-0.50']
['129604', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.89', '-0.50']
['129630', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.82', '-0.50']
['129656', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.78', '-0.50']
['129682', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.81', '-0.50']
['129708', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.87', '-0.50']
['129734', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.86', '-0.50']
['129760', '0.03', '-57.20', '0.00', '0.00', '0.89', '-6.94', '-0.50']
['129786', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.92', '-0.50']
['129812', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.81', '-0.50']
['129838', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.82', '-0.50']
['129864', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.84', '-0.50']
['129890', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.88', '-0.50']
['129916', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.86', '-0.50']
['129942', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.87', '-0.50']
['129968', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.92', '-0.50']
['129994', '0.03', '-57.20', '0.00', '0.00', '0.89', '-6.97', '-0.50']
['130020', '0.03', '-57.20', '0.00', '0.00', '0.91', '-7.03', '-0.50']
['130046', '0.03', '-57.20', '0.00', '0.00', '0.93', '-7.14', '-0.50']
['130072', '0.03', '-57.20', '0.00', '0.00', '0.93', '-7.17', '-0.50']
['130098', '0.03', '-57.20', '0.00', '0.00', '0.95', '-7.23', '-0.50']
['130124', '0.03', '-57.20', '0.00', '0.00', '0.95', '-7.27', '-0.50']
['130150', '0.03', '-57.20', '0.00', '0.00', '0.96', '-7.29', '-0.50']
['130176', '0.03', '-57.20', '0.00', '0.00', '0.95', '-7.26', '-0.50']
['130202', '0.03', '-57.20', '0.00', '0.00', '0.93', '-7.15', '-0.50']
['130229', '0.03', '-57.20', '0.00', '0.00', '0.91', '-7.07', '-0.50']
['130255', '0.03', '-57.20', '0.00', '0.00', '0.89', '-6.94', '-0.50']
['130281', '0.03', '-57.20', '0.00', '0.00', '0.87', '-6.83', '-0.50']
['130307', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.78', '-0.50']
['130333', '0.03', '-57.20', '0.00', '0.00', '0.86', '-6.81', '-0.50']
['130359', '0.03', '-57.20', '0.00', '0.00', '0.88', '-6.92', '-0.50']
['130385', '0.03', '-57.20', '0.00', '0.00', '0.90', '-6.99', '-0.50']
['130411', '0.03', '-57.20', '0.00', '0.00', '0.93', '-7.16', '-0.50']
['130437', '0.03', '-57.20', '0.00', '0.00', '0.95', '-7.23', '-0.50']
['130463', '0.03', '-57.20', '0.00', '0.00', '0.98', '-7.38', '-0.50']
['130489', '0.03', '-57.20', '0.00', '0.00', '1.00', '-7.50', '-0.50']
